"SourceContinent","ExporterContinent","ConsumerContinent","Nutrient","Unit","Value","rec_intake_adults","rni_amount"
"Europe","Asia","PICs","Zinc","mg",341127929.20943,11,31011629.92813
"Europe","Asia","PICs","Iron","mg",392583093.275436,18,21810171.8486353
"Europe","Asia","PICs","Vitamina","mcg",11811233614.5178,900,13123592.9050198
"Europe","Asia","PICs","Vitaminb12","mcg",2960849810.69754,2.4,1233687421.12397
"Europe","Europe","PICs","Protein","g",748495755.434693,50,14969915.1086939
"Europe","Europe","PICs","Fattyacids","g",31249968.279932,1.4,22321405.9142372
"Europe","Europe","PICs","Calcium","mg",704991233.255435,1300,542300.948658027
"Europe","Europe","PICs","Zinc","mg",31617493.2553815,11,2874317.56867104
"Europe","Europe","PICs","Iron","mg",57917387.9799485,18,3217632.66555269
"Europe","Europe","PICs","Vitamina","mcg",862510906.357768,900,958345.451508632
"Europe","Europe","PICs","Vitaminb12","mcg",257437923.608346,2.4,107265801.503477
"Europe","Oceania","Africa","Protein","g",5422619.88175342,50,108452.397635068
"Europe","Oceania","Africa","Fattyacids","g",511580.34185878,1.4,365414.529899129
"Europe","Oceania","Africa","Calcium","mg",13456577.1396079,1300,10351.2131843138
"Europe","Oceania","Africa","Zinc","mg",292151.709953743,11,26559.2463594311
"Europe","Oceania","Africa","Iron","mg",459458.739053678,18,25525.4855029821
"Europe","Oceania","Africa","Vitamina","mcg",13253782.0294861,900,14726.4244772068
"Europe","Oceania","Africa","Vitaminb12","mcg",3156833.82723636,2.4,1315347.42801515
"Europe","Oceania","Americas","Protein","g",166842657.175623,50,3336853.14351245
"Europe","Oceania","Americas","Fattyacids","g",10625243.3681423,1.4,7589459.54867304
"Europe","Oceania","Americas","Calcium","mg",221957691.315113,1300,170736.68562701
"Europe","Oceania","Americas","Zinc","mg",7838113.03210877,11,712555.730191707
"Europe","Oceania","Americas","Iron","mg",11611828.9602835,18,645101.60890464
"Europe","Oceania","Americas","Vitamina","mcg",236868517.862875,900,263187.242069861
"Europe","Oceania","Americas","Vitaminb12","mcg",72678216.2506433,2.4,30282590.1044347
"Europe","Oceania","Asia","Protein","g",485996217.415683,50,9719924.34831365
"Europe","Oceania","Asia","Fattyacids","g",45129863.7365414,1.4,32235616.9546724
"Europe","Oceania","Asia","Calcium","mg",928311192.38568,1300,714085.532604369
"Europe","Oceania","Asia","Zinc","mg",24243596.1462713,11,2203963.28602467
"Europe","Oceania","Asia","Iron","mg",32901512.7415533,18,1827861.81897519
"Europe","Oceania","Asia","Vitamina","mcg",1055237928.37648,900,1172486.58708498
"Europe","Oceania","Asia","Vitaminb12","mcg",247822003.633164,2.4,103259168.180485
"Europe","Oceania","Europe","Protein","g",1044721510.59848,50,20894430.2119697
"Europe","Oceania","Europe","Fattyacids","g",20830843.3202101,1.4,14879173.8001501
"Europe","Oceania","Europe","Calcium","mg",903070942.588751,1300,694669.955837501
"Europe","Oceania","Europe","Zinc","mg",27467083.3539574,11,2497007.57763249
"Europe","Oceania","Europe","Iron","mg",26345389.0964116,18,1463632.72757842
"Europe","Oceania","Europe","Vitamina","mcg",460921314.577491,900,512134.79397499
"Europe","Oceania","Europe","Vitaminb12","mcg",181852607.109306,2.4,75771919.6288776
"Europe","Oceania","Oceania","Protein","g",8353770.93033651,50,167075.41860673
"Europe","Oceania","Oceania","Fattyacids","g",710256.83027406,1.4,507326.307338614
"Europe","Oceania","Oceania","Calcium","mg",7183792.42865753,1300,5525.99417589041
"Europe","Oceania","Oceania","Zinc","mg",283078.540765004,11,25734.4127968185
"Europe","Oceania","Oceania","Iron","mg",469985.533465763,18,26110.3074147646
"Europe","Oceania","Oceania","Vitamina","mcg",12229209.7290234,900,13588.010810026
"Europe","Oceania","Oceania","Vitaminb12","mcg",2893193.66267606,2.4,1205497.35944836
"Europe","Oceania","PICs","Protein","g",175940952.959844,50,3518819.05919687
"Europe","Oceania","PICs","Fattyacids","g",15784956.7437085,1.4,11274969.1026489
"Europe","Oceania","PICs","Calcium","mg",305497211.926264,1300,234997.855327895
"Europe","Oceania","PICs","Zinc","mg",6738390.86605245,11,612580.98782295
"Europe","Oceania","PICs","Iron","mg",9056026.07156405,18,503112.559531336
"Europe","Oceania","PICs","Vitamina","mcg",330647319.578917,900,367385.910643242
"Europe","Oceania","PICs","Vitaminb12","mcg",71227036.03337,2.4,29677931.6805708
"Oceania","Africa","PICs","Protein","g",42431695.9473353,50,848633.918946706
"Oceania","Africa","PICs","Fattyacids","g",996060.129931629,1.4,711471.521379735
"Oceania","Africa","PICs","Calcium","mg",50468682.7944068,1300,38822.0636880052
"Oceania","Africa","PICs","Zinc","mg",970932.487336318,11,88266.5897578471
"Oceania","Africa","PICs","Iron","mg",1682637.0128112,18,93479.8340450665
"Oceania","Africa","PICs","Vitamina","mcg",73223879.339481,900,81359.8659327567
"Oceania","Africa","PICs","Vitaminb12","mcg",5222051.61748156,2.4,2175854.84061732
"Oceania","Americas","PICs","Protein","g",8882436.35881703,50,177648.727176341
"Oceania","Americas","PICs","Fattyacids","g",343357.963577623,1.4,245255.688269731
"Oceania","Americas","PICs","Calcium","mg",8522607.79415795,1300,6555.85214935227
"Oceania","Americas","PICs","Zinc","mg",461398.000531794,11,41945.2727756177
"Oceania","Americas","PICs","Iron","mg",523558.162218277,18,29086.564567682
"Oceania","Americas","PICs","Vitamina","mcg",6615259.90379856,900,7350.2887819984
