"Country","Pop_avg","Source","category","net_flow_value","net_flow_value_daily","rec_intake_adults","unit","net_flow_rnis_total","rni_perc_pop_total","net_flow_rnis_daily","rni_perc_pop_daily"
"TLS",1197189.58823529,"Net","zinc",713387584.502427,139524.26843388,11,"mg",64853416.7729479,54.1713838896181,12684.02440308,0.0105948335399214
"TLS",1197189.58823529,"Net","iron",892598036.130035,174574.229636228,18,"mg",49588779.7850019,41.4209915224019,9698.56831312379,0.00810111314735026
"TLS",1197189.58823529,"Net","vitamina",17393607978.6166,3401840.01146422,900,"mcg",19326231.0873517,16.1429996362058,3779.82223496025,0.0031572461639362
"TLS",1197189.58823529,"Net","vitaminb12",4518863559.50416,883798.857716441,2.4,"mcg",1882859816.46007,1572.73320363191,368249.524048517,0.307594993865033
"TON",100936.380952381,"Net","protein",5363388400.95277,1048970.93701404,50,"g",107267768.019055,1062.7265115604,20979.4187402807,0.207847938893096
"TON",100936.380952381,"Net","fattyacids",248922121.153218,48684.1621656988,1.4,"g",177801515.109441,1761.52060765209,34774.4015469277,0.344518014404869
"TON",100936.380952381,"Net","calcium",17961168306.1255,3512843.40037659,1300,"mg",13816283.3124042,136.881104533779,2702.18723105891,0.0267711919682729
"TON",100936.380952381,"Net","zinc",217683946.295865,42574.6032262596,11,"mg",19789449.6632605,196.058640864057,3870.4184751145,0.0383451282738229
"TON",100936.380952381,"Net","iron",270149280.167245,52835.7676837953,18,"mg",15008293.3426247,148.690622756776,2935.32042687752,0.0290808962950863
"TON",100936.380952381,"Net","vitamina",6170059889.66476,1206739.66158122,900,"mcg",6855622.09962751,67.9202289099488,1340.82184620135,0.0132838311969389
"TON",100936.380952381,"Net","vitaminb12",1401482416.517,274101.783007432,2.4,"mcg",583951006.882083,5785.33727256949,114209.076253097,1.13149565276149
"TTO",1463147.47058824,"Net","protein",29422688835.2116,5754486.37496804,50,"g",588453776.704231,402.183504078132,115089.727499361,0.0786590072517371
"TTO",1463147.47058824,"Net","fattyacids",1603105836.6288,313535.270218814,1.4,"g",1145075597.592,782.611199902931,223953.76444201,0.153063015822987
"TTO",1463147.47058824,"Net","calcium",94661735455.2467,18513932.2228137,1300,"mg",72816719.580959,49.7671772973671,14241.4863252413,0.00973345927975105
"TTO",1463147.47058824,"Net","zinc",1352276988.40394,264478.190573819,11,"mg",122934271.673085,84.020424560254,24043.4718703472,0.0164327057618334
"TTO",1463147.47058824,"Net","iron",1664516387.8616,325545.939343164,18,"mg",92473132.6589777,63.2015121632274,18085.8855190647,0.0123609450739737
