"Country","Pop_avg","Source","category","net_flow_value","net_flow_value_daily","rec_intake_adults","unit","net_flow_rnis_total","rni_perc_pop_total","net_flow_rnis_daily","rni_perc_pop_daily"
"TKM",5763686.35294118,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"TLS",1197189.58823529,"Net","protein",0,0,50,"g",0,0,0,0
"TLS",1197189.58823529,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"TLS",1197189.58823529,"Net","calcium",0,0,1300,"mg",0,0,0,0
"TLS",1197189.58823529,"Net","zinc",0,0,11,"mg",0,0,0,0
"TLS",1197189.58823529,"Net","iron",0,0,18,"mg",0,0,0,0
"TLS",1197189.58823529,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"TLS",1197189.58823529,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"TON",100936.380952381,"Net","protein",5363388400.95277,1048970.93701404,50,"g",107267768.019055,1062.7265115604,20979.4187402807,0.207847938893096
"TON",100936.380952381,"Net","fattyacids",248922121.153218,48684.1621656988,1.4,"g",177801515.109441,1761.52060765209,34774.4015469277,0.344518014404869
"TON",100936.380952381,"Net","calcium",17961168306.1255,3512843.40037659,1300,"mg",13816283.3124042,136.881104533779,2702.18723105891,0.0267711919682729
"TON",100936.380952381,"Net","zinc",217683946.295865,42574.6032262596,11,"mg",19789449.6632605,196.058640864057,3870.4184751145,0.0383451282738229
"TON",100936.380952381,"Net","iron",270149280.167245,52835.7676837953,18,"mg",15008293.3426247,148.690622756776,2935.32042687752,0.0290808962950863
"TON",100936.380952381,"Net","vitamina",6170059889.66476,1206739.66158122,900,"mcg",6855622.09962751,67.9202289099488,1340.82184620135,0.0132838311969389
"TON",100936.380952381,"Net","vitaminb12",1401482416.517,274101.783007432,2.4,"mcg",583951006.882083,5785.33727256949,114209.076253097,1.13149565276149
"TTO",1463147.47058824,"Net","protein",670731859.783694,131181.666298395,50,"g",13414637.1956739,9.16834253917053,2623.6333259679,0.0017931434655135
"TTO",1463147.47058824,"Net","fattyacids",21995677.1947907,4301.91222272456,1.4,"g",15711197.9962791,10.7379456357619,3072.79444480326,0.00210012627337413
"TTO",1463147.47058824,"Net","calcium",936607662.713797,183181.627755485,1300,"mg",720467.432856767,0.492409307564271,140.908944427296,9.63053603685254e-05
"TTO",1463147.47058824,"Net","zinc",24771019.0288215,4844.71328551174,11,"mg",2251910.82080196,1.53908670593308,440.428480501068,0.000301014415398607
"TTO",1463147.47058824,"Net","iron",52432481.0938741,10254.7391147808,18,"mg",2912915.61632634,1.99085579196965,569.707728598931,0.000389371365532887
"TTO",1463147.47058824,"Net","vitamina",506713003.031537,99102.8756173551,900,"mcg",563014.447812819,0.384796788519525,110.114306241506,7.52585152590504e-05
"TTO",1463147.47058824,"Net","vitaminb12",210427490.023889,41155.3862749636,2.4,"mcg",87678120.8432871,59.9243224663044,17148.0776145682,0.0117199926591638
"TUN",11538396.3529412,"Net","protein",2327464076.05157,455205.17818337,50,"g",46549281.5210314,4.03429385654323,9104.1035636674,0.000789026766388272
"TUN",11538396.3529412,"Net","fattyacids",72854919.8192662,14248.957523815,1.4,"g",52039228.442333,4.51009194436868,10177.826802725,0.000882083306154641
"TUN",11538396.3529412,"Net","calcium",1110035911.60367,217100.706357065,1300,"mg",853873.778156673,0.0740028121792694,167.000543351589,1.44734621903519e-05
"TUN",11538396.3529412,"Net","zinc",86876775.0150123,16991.3504821068,11,"mg",7897888.63772839,0.684487548888472,1544.66822564608,0.000133872002520726
"TUN",11538396.3529412,"Net","iron",183698574.512925,35927.7478022541,18,"mg",10205476.3618292,0.884479614814737,1995.98598901412,0.000172986429652794
"TUN",11538396.3529412,"Net","vitamina",1578621056.47198,308746.539501659,900,"mcg",1754023.39607998,0.152016219795819,343.051710557399,2.97313162127555e-05
"TUN",11538396.3529412,"Net","vitaminb12",768198788.914502,150244.23800401,2.4,"mcg",320082828.714376,27.7406685403718,62601.7658350041,0.00542551702334672
"TUR",78161988.4705882,"Net","protein",1578454825.55845,308714.028077146,50,"g",31569096.5111689,0.403893211123309,6174.28056154291,7.89933915750652e-05
"TUR",78161988.4705882,"Net","fattyacids",49848146.8857559,9749.29530329667,1.4,"g",35605819.2041113,0.455538809859086,6963.78235949762,8.90942323213545e-05
"TUR",78161988.4705882,"Net","calcium",668942456.98057,130831.695087145,1300,"mg",514571.120754285,0.00658339342208411,100.63976545165,1.28757939019834e-06
"TUR",78161988.4705882,"Net","zinc",61331692.5820978,11995.2459577739,11,"mg",5575608.41655435,0.0713340144698648,1090.47690525217,1.39514990162067e-05
"TUR",78161988.4705882,"Net","iron",135331643.988737,26468.1486385168,18,"mg",7518424.66604092,0.096190294197416,1470.45270213982,1.88128875801713e-05
"TUR",78161988.4705882,"Net","vitamina",999261217.116364,195435.403308501,900,"mcg",1110290.2412404,0.014204989701077,217.150448120556,2.77821038550303e-06
"TUR",78161988.4705882,"Net","vitaminb12",599203705.723281,117192.197481573,2.4,"mcg",249668210.718034,3.19424077615402,48830.0822839886,0.000624729273646396
"TUV",10599.1428571429,"Net","protein",-8611623921.13979,-1684260.49699585,50,"g",-172232478.422796,-16249.6610097794,-33685.209939917,-3.17810698411488
"TUV",10599.1428571429,"Net","fattyacids",-251652551.07887,-49218.1793621885,1.4,"g",-179751822.199193,-16959.0904304169,-35155.8424015632,-3.31685711527809
"TUV",10599.1428571429,"Net","calcium",-3342343217.84281,-653695.133550324,1300,"mg",-2571033.24449447,-242.569920902786,-502.842410423326,-0.0474417995115951
"TUV",10599.1428571429,"Net","zinc",-317886383.22267,-62172.1852577098,11,"mg",-28898762.1111519,-2726.51878558998,-5652.01684160999,-0.53325225612947
"TUV",10599.1428571429,"Net","iron",-705943314.417,-138068.318876785,18,"mg",-39219073.0231667,-3700.21175785329,-7670.46215982138,-0.723687024809953
"TUV",10599.1428571429,"Net","vitamina",-5318972220.79082,-1040284.02518889,900,"mcg",-5909969.13421202,-557.58934603181,-1155.87113909877,-0.109053265408138
