"SourceContinent","ExporterContinent","ConsumerContinent","Nutrient","Unit","Value"
"Asia","PICs",NA,"Vitaminb12","mcg",86260.7311699479
"Europe","Africa","PICs","Protein","g",83625166.4674758
"Europe","Africa","PICs","Fattyacids","g",7195801.72365552
"Europe","Africa","PICs","Calcium","mg",210346588.235227
"Europe","Africa","PICs","Zinc","mg",4278833.29878288
"Europe","Africa","PICs","Iron","mg",6229683.17027134
"Europe","Africa","PICs","Vitamina","mcg",157107478.968195
"Europe","Africa","PICs","Vitaminb12","mcg",44649472.7541992
"Europe","Americas","PICs","Protein","g",182745757.036115
"Europe","Americas","PICs","Fattyacids","g",18846487.3433659
"Europe","Americas","PICs","Calcium","mg",227593829.387717
"Europe","Americas","PICs","Zinc","mg",7001740.59733838
"Europe","Americas","PICs","Iron","mg",10891159.2778391
"Europe","Americas","PICs","Vitamina","mcg",431934695.395794
"Europe","Americas","PICs","Vitaminb12","mcg",75193092.3652021
"Europe","Asia","PICs","Protein","g",11084999246.4624
"Europe","Asia","PICs","Fattyacids","g",567217167.631661
"Europe","Asia","PICs","Calcium","mg",12527645554.2921
"Europe","Asia","PICs","Zinc","mg",341127929.20943
"Europe","Asia","PICs","Iron","mg",392583093.275436
"Europe","Asia","PICs","Vitamina","mcg",11811233614.5178
"Europe","Asia","PICs","Vitaminb12","mcg",2960849810.69754
"Europe","Europe","PICs","Protein","g",748495755.434693
"Europe","Europe","PICs","Fattyacids","g",31249968.279932
"Europe","Europe","PICs","Calcium","mg",704991233.255435
"Europe","Europe","PICs","Zinc","mg",31617493.2553815
"Europe","Europe","PICs","Iron","mg",57917387.9799485
"Europe","Europe","PICs","Vitamina","mcg",862510906.357768
"Europe","Europe","PICs","Vitaminb12","mcg",257437923.608346
"Europe","Oceania","PICs","Protein","g",109331912.203627
"Europe","Oceania","PICs","Fattyacids","g",9011209.19184996
"Europe","Oceania","PICs","Calcium","mg",254988629.332325
"Europe","Oceania","PICs","Zinc","mg",4595460.2842931
"Europe","Oceania","PICs","Iron","mg",5864741.0129319
"Europe","Oceania","PICs","Vitamina","mcg",220552899.206351
"Europe","Oceania","PICs","Vitaminb12","mcg",46636089.4693053
"Europe","PICs","Africa","Protein","g",5422619.88175342
"Europe","PICs","Africa","Fattyacids","g",511580.34185878
"Europe","PICs","Africa","Calcium","mg",13456577.1396079
"Europe","PICs","Africa","Zinc","mg",292151.709953743
"Europe","PICs","Africa","Iron","mg",459458.739053678
"Europe","PICs","Africa","Vitamina","mcg",13253782.0294861
"Europe","PICs","Africa","Vitaminb12","mcg",3156833.82723636
"Europe","PICs","Americas","Protein","g",166842657.175623
"Europe","PICs","Americas","Fattyacids","g",10625243.3681423
"Europe","PICs","Americas","Calcium","mg",221957691.315113
"Europe","PICs","Americas","Zinc","mg",7838113.03210877
"Europe","PICs","Americas","Iron","mg",11611828.9602835
"Europe","PICs","Americas","Vitamina","mcg",236868517.862875
"Europe","PICs","Americas","Vitaminb12","mcg",72678216.2506433
"Europe","PICs","Asia","Protein","g",485996217.415683
"Europe","PICs","Asia","Fattyacids","g",45129863.7365414
"Europe","PICs","Asia","Calcium","mg",928311192.38568
"Europe","PICs","Asia","Zinc","mg",24243596.1462713
"Europe","PICs","Asia","Iron","mg",32901512.7415533
"Europe","PICs","Asia","Vitamina","mcg",1055237928.37648
"Europe","PICs","Asia","Vitaminb12","mcg",247822003.633164
"Europe","PICs","Europe","Protein","g",1044721510.59848
"Europe","PICs","Europe","Fattyacids","g",20830843.3202101
"Europe","PICs","Europe","Calcium","mg",903070942.588751
"Europe","PICs","Europe","Zinc","mg",27467083.3539574
"Europe","PICs","Europe","Iron","mg",26345389.0964116
"Europe","PICs","Europe","Vitamina","mcg",460921314.577491
"Europe","PICs","Europe","Vitaminb12","mcg",181852607.109306
"Europe","PICs","Oceania","Protein","g",8353770.93033651
"Europe","PICs","Oceania","Fattyacids","g",710256.83027406
"Europe","PICs","Oceania","Calcium","mg",7183792.42865753
"Europe","PICs","Oceania","Zinc","mg",283078.540765004
"Europe","PICs","Oceania","Iron","mg",469985.533465763
"Europe","PICs","Oceania","Vitamina","mcg",12229209.7290234
"Europe","PICs","Oceania","Vitaminb12","mcg",2893193.66267606
"Europe","PICs","PICs","Protein","g",66609040.7562164
"Europe","PICs","PICs","Fattyacids","g",6773747.5518585
"Europe","PICs","PICs","Calcium","mg",50508582.5939388
"Europe","PICs","PICs","Zinc","mg",2142930.58175935
"Europe","PICs","PICs","Iron","mg",3191285.05863215
"Europe","PICs","PICs","Vitamina","mcg",110094420.372566
"Europe","PICs","PICs","Vitaminb12","mcg",24590946.5640647
"Oceania","Africa","PICs","Protein","g",42431695.9473353
"Oceania","Africa","PICs","Fattyacids","g",996060.129931629
"Oceania","Africa","PICs","Calcium","mg",50468682.7944068
"Oceania","Africa","PICs","Zinc","mg",970932.487336318
"Oceania","Africa","PICs","Iron","mg",1682637.0128112
"Oceania","Africa","PICs","Vitamina","mcg",73223879.339481
"Oceania","Africa","PICs","Vitaminb12","mcg",5222051.61748156
"Oceania","Americas","PICs","Protein","g",8882436.35881703
"Oceania","Americas","PICs","Fattyacids","g",343357.963577623
"Oceania","Americas","PICs","Calcium","mg",8522607.79415795
"Oceania","Americas","PICs","Zinc","mg",461398.000531794
"Oceania","Americas","PICs","Iron","mg",523558.162218277
"Oceania","Americas","PICs","Vitamina","mcg",6615259.90379856
"Oceania","Americas","PICs","Vitaminb12","mcg",3214379.97619816
"Oceania","Asia","PICs","Protein","g",606620541.600307
"Oceania","Asia","PICs","Fattyacids","g",17448263.6906306
"Oceania","Asia","PICs","Calcium","mg",726139294.741315
"Oceania","Asia","PICs","Zinc","mg",17680565.2067072
"Oceania","Asia","PICs","Iron","mg",29678208.614646
"Oceania","Asia","PICs","Vitamina","mcg",940467193.814722
"Oceania","Asia","PICs","Vitaminb12","mcg",113415104.261167
"Oceania","Europe","PICs","Protein","g",1199646.00769189
"Oceania","Europe","PICs","Fattyacids","g",42752.7282009876
"Oceania","Europe","PICs","Calcium","mg",548856.936010262
"Oceania","Europe","PICs","Zinc","mg",48069.6516125149
"Oceania","Europe","PICs","Iron","mg",108140.869724446
"Oceania","Europe","PICs","Vitamina","mcg",746962.470669774
"Oceania","Europe","PICs","Vitaminb12","mcg",465823.294567556
"Oceania","Oceania","PICs","Protein","g",13455343628.093
"Oceania","Oceania","PICs","Fattyacids","g",443626747.939573
"Oceania","Oceania","PICs","Calcium","mg",23252134679.4332
"Oceania","Oceania","PICs","Zinc","mg",454158124.137717
"Oceania","Oceania","PICs","Iron","mg",695353257.685331
"Oceania","Oceania","PICs","Vitamina","mcg",19408896291.7458
"Oceania","Oceania","PICs","Vitaminb12","mcg",3137827335.89777
"Oceania","PICs","Africa","Protein","g",11946475.569046
"Oceania","PICs","Africa","Fattyacids","g",558653.250369275
"Oceania","PICs","Africa","Calcium","mg",72772296.1166075
"Oceania","PICs","Africa","Zinc","mg",480507.65670294
"Oceania","PICs","Africa","Iron","mg",873855.702081596
"Oceania","PICs","Africa","Vitamina","mcg",21953586.2284519
"Oceania","PICs","Africa","Vitaminb12","mcg",4200774.4218664
"Oceania","PICs","Americas","Protein","g",602614532.108877
"Oceania","PICs","Americas","Fattyacids","g",17991144.0550342
"Oceania","PICs","Americas","Calcium","mg",785130448.179798
"Oceania","PICs","Americas","Zinc","mg",19473589.4386723
"Oceania","PICs","Americas","Iron","mg",31913905.1072213
"Oceania","PICs","Americas","Vitamina","mcg",703291052.790547
"Oceania","PICs","Americas","Vitaminb12","mcg",146260109.42209
"Oceania","PICs","Asia","Protein","g",1300809143.59348
"Oceania","PICs","Asia","Fattyacids","g",51889869.3459599
"Oceania","PICs","Asia","Calcium","mg",2365030864.74163
"Oceania","PICs","Asia","Zinc","mg",53236465.2610008
"Oceania","PICs","Asia","Iron","mg",80076683.400482
"Oceania","PICs","Asia","Vitamina","mcg",1612927200.89192
"Oceania","PICs","Asia","Vitaminb12","mcg",456841408.523251
"Oceania","PICs","Europe","Protein","g",403193279.893119
"Oceania","PICs","Europe","Fattyacids","g",15338675.516484
"Oceania","PICs","Europe","Calcium","mg",759991945.377752
