"SourceContinent","ExporterContinent","ConsumerContinent","year","Nutrient","Unit","Value"
"Africa","Europe","PICs",2007,"Fattyacids","g",36577.5329048372
"Africa","Europe","PICs",2007,"Calcium","mg",1881724.15258066
"Africa","Europe","PICs",2007,"Zinc","mg",121174.671218418
"Africa","Europe","PICs",2007,"Iron","mg",176135.002097636
"Africa","Europe","PICs",2007,"Vitamina","mcg",2306415.39607914
"Africa","Europe","PICs",2007,"Vitaminb12","mcg",817886.839723735
"Africa","Europe","PICs",2008,"Protein","g",8530366.88331897
"Africa","Europe","PICs",2008,"Fattyacids","g",213563.511331924
"Africa","Europe","PICs",2008,"Calcium","mg",3990627.73450263
"Africa","Europe","PICs",2008,"Zinc","mg",283494.936345007
"Africa","Europe","PICs",2008,"Iron","mg",597475.233817349
"Africa","Europe","PICs",2008,"Vitamina","mcg",5314908.68976918
"Africa","Europe","PICs",2008,"Vitaminb12","mcg",2471022.14837471
"Africa","Europe","PICs",2009,"Protein","g",1057395.82185901
"Africa","Europe","PICs",2009,"Fattyacids","g",29139.7977748123
"Africa","Europe","PICs",2009,"Calcium","mg",710329.620625428
"Africa","Europe","PICs",2009,"Zinc","mg",34134.1763182608
"Africa","Europe","PICs",2009,"Iron","mg",64386.3624035854
"Africa","Europe","PICs",2009,"Vitamina","mcg",1620738.15647928
"Africa","Europe","PICs",2009,"Vitaminb12","mcg",263616.111146446
"Africa","Europe","PICs",2010,"Protein","g",2016304.50991921
"Africa","Europe","PICs",2010,"Fattyacids","g",104522.916978424
"Africa","Europe","PICs",2010,"Calcium","mg",3379310.54642582
"Africa","Europe","PICs",2010,"Zinc","mg",83114.3240296784
"Africa","Europe","PICs",2010,"Iron","mg",150703.615784817
"Africa","Europe","PICs",2010,"Vitamina","mcg",2124661.34755875
"Africa","Europe","PICs",2010,"Vitaminb12","mcg",780904.9023812
"Africa","Europe","PICs",2011,"Protein","g",2941882.80076346
"Africa","Europe","PICs",2011,"Fattyacids","g",62931.573724924
"Africa","Europe","PICs",2011,"Calcium","mg",1689112.5466497
"Africa","Europe","PICs",2011,"Zinc","mg",90666.654605133
"Africa","Europe","PICs",2011,"Iron","mg",177696.004958846
"Africa","Europe","PICs",2011,"Vitamina","mcg",1752213.58953081
"Africa","Europe","PICs",2011,"Vitaminb12","mcg",698242.314449898
"Africa","Europe","PICs",2012,"Protein","g",1776536.12987064
"Africa","Europe","PICs",2012,"Fattyacids","g",42775.088180953
"Africa","Europe","PICs",2012,"Calcium","mg",1946152.62494127
"Africa","Europe","PICs",2012,"Zinc","mg",56465.7956068646
"Africa","Europe","PICs",2012,"Iron","mg",74381.7876876172
"Africa","Europe","PICs",2012,"Vitamina","mcg",1459119.60484743
"Africa","Europe","PICs",2012,"Vitaminb12","mcg",294703.900940481
"Africa","Europe","PICs",2013,"Protein","g",6510804.97295446
"Africa","Europe","PICs",2013,"Fattyacids","g",173520.986486188
"Africa","Europe","PICs",2013,"Calcium","mg",2530974.47250756
"Africa","Europe","PICs",2013,"Zinc","mg",227597.730551986
"Africa","Europe","PICs",2013,"Iron","mg",505777.99568825
"Africa","Europe","PICs",2013,"Vitamina","mcg",4164068.74768478
"Africa","Europe","PICs",2013,"Vitaminb12","mcg",2105685.31770745
"Africa","Europe","PICs",2014,"Protein","g",2091865.26672609
"Africa","Europe","PICs",2014,"Fattyacids","g",63070.6640201989
"Africa","Europe","PICs",2014,"Calcium","mg",932022.179904637
"Africa","Europe","PICs",2014,"Zinc","mg",78610.6670800545
"Africa","Europe","PICs",2014,"Iron","mg",171233.742387203
"Africa","Europe","PICs",2014,"Vitamina","mcg",1449463.83964915
"Africa","Europe","PICs",2014,"Vitaminb12","mcg",729907.081257143
"Africa","Europe","PICs",2015,"Protein","g",766451.972626782
"Africa","Europe","PICs",2015,"Fattyacids","g",68091.9032779043
"Africa","Europe","PICs",2015,"Calcium","mg",2378142.80116074
"Africa","Europe","PICs",2015,"Zinc","mg",37456.474787005
"Africa","Europe","PICs",2015,"Iron","mg",62892.1912176089
"Africa","Europe","PICs",2015,"Vitamina","mcg",1192550.92069799
"Africa","Europe","PICs",2015,"Vitaminb12","mcg",411562.906606331
"Africa","Europe","PICs",2017,"Protein","g",821984.991504757
"Africa","Europe","PICs",2017,"Fattyacids","g",76672.9333742493
"Africa","Europe","PICs",2017,"Calcium","mg",2696567.43046422
"Africa","Europe","PICs",2017,"Zinc","mg",41099.2495752379
"Africa","Europe","PICs",2017,"Iron","mg",68498.7492920631
"Africa","Europe","PICs",2017,"Vitamina","mcg",1324309.15297989
"Africa","Europe","PICs",2017,"Vitaminb12","mcg",456658.328613754
"Africa","Europe","PICs",2018,"Protein","g",568667.8954413
"Africa","Europe","PICs",2018,"Fattyacids","g",39039.6264673605
"Africa","Europe","PICs",2018,"Calcium","mg",1248721.36620106
"Africa","Europe","PICs",2018,"Zinc","mg",25544.5910414417
"Africa","Europe","PICs",2018,"Iron","mg",46151.6189973413
"Africa","Europe","PICs",2018,"Vitamina","mcg",712750.714238058
"Africa","Europe","PICs",2018,"Vitaminb12","mcg",267823.176055254
"Africa","Europe","PICs",2020,"Protein","g",1766848.81222162
"Africa","Europe","PICs",2020,"Fattyacids","g",45891.7711548293
"Africa","Europe","PICs",2020,"Calcium","mg",681720.608103732
"Africa","Europe","PICs",2020,"Zinc","mg",62317.7306846464
"Africa","Europe","PICs",2020,"Iron","mg",130568.396297401
"Africa","Europe","PICs",2020,"Vitamina","mcg",1183804.55189072
"Africa","Europe","PICs",2020,"Vitaminb12","mcg",549850.707089207
"Africa","Oceania","PICs",2008,"Protein","g",38822961.5200288
